nombre,tienda,categoria_principal,precio,moneda,simbolo,estrellas,reviews,descripcion,especificaciones,categoria,categoria_path,url,imagen,sku,id
ROG Strix GeForce RTX™ 4070 Ti SUPER 16GB GDDR6X,ASUS,tarjetas graficas,,,,0.0,0,ROG Strix GeForce RTX™ 4070 Ti SUPER 16GB GDDR6X diseño pulido con un rendimiento térmico de récord.,{},ROG-STRIX-RTX4070TIS-16G-GAMING,"['Graphics Cards', 'Graphics Cards', 'ROG Strix']",https://rog.asus.com/ar/graphics-cards/graphics-cards/rog-strix/rog-strix-rtx4070tis-16g-gaming/,https://dlcdnwebimgs.asus.com/gain/B6222AD4-159A-4521-97BA-B92B316CA0D2/w185,90YV0KG1-MVAA00,R_90YV0KG1-MVAA00
ROG Strix GeForce RTX™ 4070 Ti SUPER 16GB GDDR6X OC Edition,ASUS,tarjetas graficas,,,,0.0,0,ROG Strix GeForce RTX™ 4070 Ti SUPER 16GB GDDR6X OC Edition diseño pulido con un rendimiento térmico de primera.,{},ROG-STRIX-RTX4070TIS-O16G-GAMING,"['Graphics Cards', 'Graphics Cards', 'ROG Strix']",https://rog.asus.com/ar/graphics-cards/graphics-cards/rog-strix/rog-strix-rtx4070tis-o16g-gaming/,https://dlcdnwebimgs.asus.com/gain/E0F17D10-DCBB-4681-BA9B-9045E5F7D1F2/w185,90YV0KG0-M0AA00,R_90YV0KG0-M0AA00
ASUS TUF Gaming GeForce RTX™ 5070 12GB GDDR7,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming GeForce RTX™ 5070 12 GB GDDR7 con componentes de grado militar, temperaturas más bajas y durabilidad mejorada",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rtx5070-12g-gaming/,https://dlcdnwebimgs.asus.com/gain/84d2d1e6-aca7-4487-9892-09760ed7731b/w185,30897,30897
ASUS TUF Gaming GeForce RTX™ 5070 12GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming GeForce RTX™ 5070 OC Edition 12GB GDDR7 con componentes de grado militar, temperaturas más bajas y durabilidad mejorada.",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rtx5070-o12g-gaming/,https://dlcdnwebimgs.asus.com/gain/3f23e07e-add3-4fa2-8c96-744d2fe56fa8/w185,30896,30896
ASUS PRIME GeForce RTX™ 5070 12GB GDDR7,ASUS,tarjetas graficas,,,,4.5,100,La ASUS Prime GeForce RTX™ 5070 12GB GDDR7 preparada para SFF cuenta con tres ventiladores Axial-tech para una refrigeración suprema.,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'PRIME']",https://www.asus.com/ar/motherboards-components/graphics-cards/prime/prime-rtx5070-12g/,https://dlcdnwebimgs.asus.com/gain/acf86ce0-adf1-430f-80dd-ec48f5466960/w185,30892,30892
ASUS PRIME GeForce RTX™ 5070 12GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,La ASUS Prime GeForce RTX™ 5070 OC Edition 12GB GDDR7 preparada para SFF cuenta con tres ventiladores Axial-tech para una refrigeración suprema.,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'PRIME']",https://www.asus.com/ar/motherboards-components/graphics-cards/prime/prime-rtx5070-o12g/,https://dlcdnwebimgs.asus.com/gain/4ee1ab96-bd34-40b0-945c-b6497d32df9b/w185,30891,30891
ASUS TUF Gaming GeForce RTX™ 5090 32GB GDDR7,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming GeForce RTX™ 5090 32GB GDDR7 con componentes de grado militar, temperaturas más bajas y durabilidad mejorada.",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rtx5090-32g-gaming/,https://dlcdnwebimgs.asus.com/gain/02151c38-4d77-44c8-aa4a-24b6e7d1f4d6/w185,30967,30967
ASUS TUF Gaming GeForce RTX™ 5090 32GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming GeForce RTX™ 5090 OC Edition 32GB GDDR7 con componentes de grado militar, temperaturas más bajas y durabilidad mejorada.",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rtx5090-o32g-gaming/,https://dlcdnwebimgs.asus.com/gain/4aad6290-f858-4712-b9a7-f37b33d5211a/w185,30966,30966
ASUS PRIME GeForce RTX™ 5070 Ti 16GB GDDR7,ASUS,tarjetas graficas,,,,4.5,100,La ASUS Prime GeForce RTX™ 5070 Ti 16GB GDDR7 preparada para SFF cuenta con tres ventiladores Axial-tech para una refrigeración suprema.,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'PRIME']",https://www.asus.com/ar/motherboards-components/graphics-cards/prime/prime-rtx5070ti-16g/,https://dlcdnwebimgs.asus.com/gain/d3761a53-69f3-4d8e-aa5a-7e3c8eaf2c74/w185,30931,30931
ASUS PRIME GeForce RTX™ 5070 Ti 16GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,La ASUS Prime GeForce RTX™ 5070 Ti OC Edition 16GB GDDR7 preparada para SFF cuenta con tres ventiladores Axial-tech para una refrigeración suprema.,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'PRIME']",https://www.asus.com/ar/motherboards-components/graphics-cards/prime/prime-rtx5070ti-o16g/,https://dlcdnwebimgs.asus.com/gain/11a24dd6-9a6b-415a-9131-afad0064b16c/w185,30930,30930
ASUS TUF Gaming GeForce RTX™ 5070 Ti 16GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming GeForce RTX™ 5070 Ti OC Edition 16GB GDDR7 con componentes de grado militar, temperaturas más bajas y durabilidad mejorada.",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rtx5070ti-o16g-gaming/,https://dlcdnwebimgs.asus.com/gain/a1ff0778-334d-4bc1-8862-7bfd44f2754b/w185,30928,30928
ASUS TUF Gaming GeForce RTX™ 5080 16GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming GeForce RTX™ 5080 OC Edition 16GB GDDR7 con componentes de grado militar, temperaturas más bajas y durabilidad mejorada.",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rtx5080-o16g-gaming/,https://dlcdnwebimgs.asus.com/gain/7bb494af-8636-46a3-93ee-3cff60d30624/w185,30894,30894
ASUS PRIME GeForce RTX™ 5080 16GB GDDR7,ASUS,tarjetas graficas,,,,4.5,100,La ASUS Prime GeForce RTX™ 5080 16GB GDDR7 preparada para SFF cuenta con tres ventiladores Axial-tech y una cámara de vapor para una refrigeración suprema.,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'PRIME']",https://www.asus.com/ar/motherboards-components/graphics-cards/prime/prime-rtx5080-16g/,https://dlcdnwebimgs.asus.com/gain/c6da0479-e4d5-4612-9556-d69427dc0a74/w185,30893,30893
ASUS PRIME GeForce RTX™ 5080 16GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,La ASUS Prime GeForce RTX™ 5080 OC Edition 16GB GDDR7 preparada para SFF cuenta con tres ventiladores Axial-tech y una cámara de vapor para una refrigeración suprema.,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'PRIME']",https://www.asus.com/ar/motherboards-components/graphics-cards/prime/prime-rtx5080-o16g/,https://dlcdnwebimgs.asus.com/gain/7a0d6188-aaf6-4892-b2b9-2214f40204cf/w185,30889,30889
