nombre,tienda,precio,estrellas,reviews,descripcion,especificaciones,categoria,categoria_path,url,imagen,sku,score
ASUS Dual GeForce RTX™ 4070 EVO OC Edition 12GB GDDR6,ASUS,841628.0,4.5,100.0,La ASUS Dual GeForce RTX 4070 EVO OC Edition 12GB GDDR6 preparada para SFF con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4070-o12gd6-evo/,https://dlcdnwebimgs.asus.com/gain/60acfe17-559b-4cfc-9019-e521f96420ec/w185,28639,3.814621212121212
ASUS Dual GeForce RTX™ 4070 EVO OC Edition 12GB GDDR6X,ASUS,1231169.0,4.5,100.0,La ASUS Dual GeForce RTX 4070 EVO OC Edition 12GB GDDR6X preparada para SFF con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4070-o12g-evo/,https://dlcdnwebimgs.asus.com/gain/3c7a2fab-50fa-4d85-b6be-1ab2fa3881ad/w185,24073,3.814621212121212
ASUS Dual GeForce RTX™ 4070 EVO White OC Edition 12GB GDDR6X,ASUS,1347400.0,4.5,100.0,La ASUS Dual GeForce RTX 4070 EVO White OC Edition 12GB GDDR6X preparada para SFF con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4070-o12g-evo-white/,https://dlcdnwebimgs.asus.com/gain/3be5af8a-3c81-4e11-aaf1-a561d30d80a5/w185,26481,3.814621212121212
ASUS Dual GeForce RTX™ 4070 SUPER EVO OC Edition 12GB GDDR6X,ASUS,1291053.0,4.5,100.0,La ASUS Dual GeForce RTX 4070 SUPER EVO OC Edition 12GB GDDR6X preparada para SFF con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4070s-o12g-evo/,https://dlcdnwebimgs.asus.com/gain/aefb6207-aeb3-4d93-a422-4801c98db037/w185,25162,3.814621212121212
ASUS Dual GeForce RTX™ 4070 SUPER EVO White OC Edition 12GB GDDR6X,ASUS,1069510.0,4.5,100.0,La ASUS Dual GeForce RTX 4070 SUPER EVO White OC Edition 12GB GDDR6X preparada para SFF con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4070s-o12g-evo-white/,https://dlcdnwebimgs.asus.com/gain/384fbe94-fed2-44b9-88bd-617eb1ae3659/w185,26466,3.814621212121212
ASUS Dual GeForce RTX™ 4070 SUPER White Edition 12GB GDDR6X,ASUS,1134128.0,4.5,100.0,ASUS Dual GeForce RTX 4070 SUPER White Edition 12GB GDDR6X con dos potentes ventiladores Axialtech y un diseño de 256 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4070s-12g-white/,https://dlcdnwebimgs.asus.com/gain/2e4222f8-42de-447b-b76e-c884c6764042/w185,25114,3.814621212121212
ASUS Dual GeForce RTX™ 4070 SUPER White OC Edition 12GB GDDR6X,ASUS,902621.0,4.5,100.0,ASUS Dual GeForce RTX 4070 SUPER White OC Edition 12GB GDDR6X con dos potentes ventiladores Axialtech y un diseño de 256 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4070s-o12g-white/,https://dlcdnwebimgs.asus.com/gain/cad247af-0272-4e6a-bd9d-ab5f5aa24675/w185,25113,3.814621212121212
ASUS Dual GeForce RTX™ 5060 8GB GDDR7,ASUS,924680.0,4.5,100.0,ASUS Dual GeForce RTX 5060 8GB GDDR7 con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx5060-8g/,https://dlcdnwebimgs.asus.com/gain/53f9bac2-10d5-452c-bfba-7b2af7bc8802/w185,31136,3.814621212121212
ASUS Dual GeForce RTX™ 5060 8GB GDDR7 OC Edition,ASUS,1130506.0,4.5,100.0,ASUS Dual GeForce RTX 5060 8GB GDDR7 Edición OC con dos potentes ventiladores Axialtech y un diseño de ranuras 25 para amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx5060-o8g/,https://dlcdnwebimgs.asus.com/gain/35710ce7-7a2b-42ab-aa48-63c448e6c047/w185,31135,3.814621212121212
ASUS Dual GeForce RTX™ 5060 Ti 16GB GDDR7,ASUS,854513.0,4.5,100.0,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx5060ti-16g/,https://dlcdnwebimgs.asus.com/gain/213061d4-ee07-4e32-aeb1-2e11241419e2/w185,31097,3.814621212121212
